# label	mx	my	TooBig	Compact	Shadow	fillfac	aspect	contrast	skip?
196	4	5	False	True	False	0.850	1.250	28.154	 
197	4	4	False	True	True	0.875	1.000	-10.013	*
198	3	3	False	True	False	1.000	1.000	20.436	 
199	4	4	False	True	True	0.875	1.000	-19.256	*
200	4	4	False	False	True	0.750	1.000	-7.518	*
201	5	5	False	False	True	0.720	1.000	-14.133	*
202	7	6	True	False	True	0.714	1.167	-66.409	*
203	4	4	False	True	False	0.875	1.000	11.866	 
204	4	4	False	True	False	0.875	1.000	19.840	 
205	5	4	False	True	True	0.850	1.250	-24.719	*
206	5	5	False	False	False	0.720	1.000	6.134	 
207	3	3	False	True	False	1.000	1.000	8.594	 
208	4	5	False	False	False	0.750	1.250	215.945	 
209	4	4	False	True	True	0.875	1.000	-30.424	*
210	4	4	False	False	False	0.750	1.000	25.616	 
211	5	5	False	False	False	0.640	1.000	49.520	 
212	4	5	False	True	True	0.800	1.250	-55.427	*
213	4	5	False	True	False	0.800	1.250	118.667	 
214	6	6	True	True	False	0.861	1.000	25.364	*
215	5	5	False	True	False	0.840	1.000	17.633	 
216	3	3	False	True	False	1.000	1.000	1539.338	 
217	4	4	False	True	False	0.875	1.000	29.101	 
218	5	5	False	True	False	0.800	1.000	28.261	 
219	5	5	False	False	True	0.720	1.000	-17.681	*
220	4	4	False	False	False	0.750	1.000	8.144	 
221	4	4	False	True	True	0.875	1.000	-43.947	*
222	5	5	False	False	True	0.760	1.000	-22.025	*
223	5	4	False	True	True	0.800	1.250	-31.729	*
224	5	4	False	True	True	0.850	1.250	-64.069	*
225	3	4	False	False	False	0.833	1.333	10.463	 
226	4	4	False	True	False	0.875	1.000	119.897	 
227	3	4	False	False	False	0.833	1.333	15.273	 
228	5	5	False	False	True	0.760	1.000	-37.164	*
229	4	4	False	True	False	0.875	1.000	173.051	 
230	5	4	False	True	False	0.800	1.250	21.285	 
231	5	5	False	False	False	0.600	1.000	23.994	 
