Title: The population of Galactic planetary nebulae: a study based on their 
       distances from the second Gaia release 
Authors: Stanghellini L., Bucciarelli B., Lattanzi M.G., Morbidelli R. 
Table: Catalog of DR2 parallaxes, derived parallax distances, and 
       ancillary parameters for Galactic PNe
================================================================================
Byte-by-byte Description of file: apjab59e4t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label   Explanations
--------------------------------------------------------------------------------
   1- 10 A10    ---       ID      PN identifier
  12- 30 I19    ---       Gaia    Gaia DR2 identifier
  32- 37 F6.4   mas       plx     Gaia DR2 parallax
  39- 44 F6.4   mas     e_plx     Uncertainty in plx
  46- 47 A2     ---       M       Nebular morphology code (1)
  49- 54 F6.2   arcsec    theta   ? Angular radius
  56- 61 F6.2   [mW/m2]   logFHb  ? log H{beta} integrated flux; erg/s/cm^2^
  63- 66 F4.2   [mW/m2] e_logFHb  ? Uncertainty in logFHb
  68- 72 F5.2   ---       calpha  ? Extinction constant
  74- 77 F4.2   ---     e_calpha  ? Uncertainty in calpha
  79- 84 F6.3   [pc]      logRpc  ? log linear nebula radius (2)
  86- 90 F5.3   [pc]    E_logRpc  ? Upper uncertainty in logRpc
  92- 96 F5.3   [pc]    e_logRpc  ? Lower uncertainty in logRpc
  98-102 A5     ---       Refs    References (3)  
--------------------------------------------------------------------------------
Note (1):
    R = Round;
    E = Elliptical;
019.2-02.2 4104703032314258432 1.3675 0.8678      0.60 -12.80 0.10  2.36 0.10 -2.672 0.516 0.310 4,5,5 
019.4-19.6 6868431267915481088 0.5715 0.0365 E   70.00                                           5,*,* 
020.7-05.9 4102207686291028864 0.3498 0.0448      2.80 -12.30 0.20  0.87 0.10 -1.411 0.139 0.149 4,5,5 
020.9-01.1 4154696829542155392 0.8044 0.2764 B    7.70 -12.90 0.30  2.92 0.10 -1.333 0.262 0.225 3,4,4 
022.1-02.4 4107103777208876928 0.4219 0.1959 B    4.20 -12.40 0.20  1.85 0.10 -1.316 0.350 0.263 4,4,4 
023.0+04.3 4160638521643128448 0.0818 0.0778 R         -13.60 0.30  1.93 0.10                    *,5,5 
023.8-01.7 4155606331827457408 0.3317 0.0891      1.50 -14.10 0.30  3.63 0.10 -1.659 0.215 0.200 4,5,5 
023.9+01.2 4159799662991309696 0.5041 0.2679           -14.30 0.30  3.60 0.10                    *,5,5 
024.2+05.9 4173456868719167616 0.2261 0.1824 E   23.95 -12.80 0.40  1.90 0.10 -0.289 0.793 0.354 3,5,5 
025.3+40.8 4457218245479455744 0.3803 0.0794 E    6.40 -10.59 0.10  0.05 0.10 -1.088 0.181 0.179 4,4,4 
025.4-04.7 4203649492392070912 0.7239 0.5577 E   54.10 -11.70 0.40  0.15 0.10 -0.441 0.718 0.345 4,5,5 
026.5-03.0 4252307211263954688 0.3659 0.0676 B    2.93 -12.37 0.07  0.99 0.10 -1.411 0.168 0.171 2,2,5 
027.4-03.5 4253934209252777344 0.2695 0.0803 E    2.00 -12.09 0.10  0.71 0.10 -1.444 0.233 0.210 4,5,5 
027.6+16.9 4376331092036268032 0.5823 0.0696 E   47.00 -12.60 0.50  0.21 0.10 -0.407 0.134 0.146 5,5,5 
028.0+10.2 4275480995019447552 0.1260 0.1116 E   25.35 -12.80 0.40  0.51 0.10 -0.011 1.021 0.372 3,5,5 
028.5+05.1 4271262276290004864 0.2161 0.1319 R    1.40 -13.70 0.30  3.32 0.10 -1.503 0.489 0.304 4,5,5 
028.7+02.7 4259650192241859840 0.5479 0.4154 BC   3.20 -14.00 0.40                               4,5,* 
029.0+00.4 4258557110213184896 0.2187 0.0812     20.00                                           5,*,* 
030.6+06.2 4276328581046447104 2.4767 0.0755    200.00                                           5,*,* 
031.0-10.8 4207957000957467392 0.7120 0.2170 E    3.70 -11.80 0.30  0.58 0.10 -1.599 0.237 0.212 3,5,5 
032.5-03.2 4262011019866089856 0.1185 0.1101           -13.23 0.10  2.05 0.10                    *,5,5 
033.1-06.3 4261038467432411776 0.9220 0.2065 E   40.35 -11.67 0.02  0.93 0.11 -0.673 0.189 0.185 3,4,4 
034.1-10.5 4213334746695221888 0.4288 0.1064     23.50                                           5,*,* 
